miRNA,RF,RRF
hsa-miR-339-3p ,62,0.0003
hsa-miR-152    ,60,0.0003
hsa-miR-197    ,60,0.0003
hsa-miR-29a    ,58,0.0003
hsa-miR-335*   ,57,0.0003
hsa-miR-450b-5p,56,0.0003
hsa-miR-181c   ,55.67,0.0003
hsa-miR-625*   ,55,0.0003
hsa-miR-590-5p ,54,0.0003
hsa-miR-744    ,54,0.0003
hsa-miR-1301   ,53,0.0003
hsa-miR-340    ,53,0.0003
hsa-miR-421    ,52,0.0003
hsa-miR-99b*   ,52,0.0003
hsa-miR-24-2*  ,50,0.0003
hsa-miR-9      ,49,0.0003
hsa-miR-296-3p ,43,0.0002
hsa-miR-16-2*  ,42,0.0002
hsa-miR-28-5p  ,42,0.0002
hsa-let-7a*    ,41,0.0002
hsa-miR-27a*   ,40,0.0002
hsa-miR-221    ,38,0.0002
hsa-miR-193a-5p,38,0.0002
hsa-miR-1307   ,38,0.0002
hsa-miR-324-3p ,37,0.0002
hsa-miR-320b   ,36.11,0.0002
hsa-miR-342-3p ,36,0.0002
hsa-miR-130b*  ,35,0.0002
hsa-miR-27b*   ,34,0.0002
hsa-miR-7-1*   ,33,0.0002
hsa-miR-16-1*  ,33,0.0002
hsa-miR-25*    ,32,0.0002
hsa-miR-125b-2*,31,0.0002
hsa-miR-190    ,31,0.0002
hsa-miR-484    ,31,0.0002
hsa-miR-590-3p ,31,0.0002
hsa-miR-503    ,31,0.0002
hsa-miR-502-3p ,30,0.0002
hsa-miR-660    ,30,0.0002
hsa-miR-942    ,30,0.0002
hsa-miR-135b   ,29,0.0002
hsa-miR-222    ,28,0.0001
hsa-miR-181d   ,27.83,0.0001
hsa-miR-181a-2*,27,0.0001
hsa-miR-500*   ,27,0.0001
hsa-miR-425*   ,27,0.0001
hsa-miR-335    ,26,0.0001
hsa-miR-615-3p ,26,0.0001
hsa-miR-501-5p ,26,0.0001
hsa-miR-126*   ,26,0.0001
hsa-miR-95     ,26,0.0001
hsa-miR-188-5p ,24,0.0001
hsa-miR-320c   ,23.63,0.0001
hsa-miR-455-3p ,23,0.0001
hsa-miR-141*   ,22,0.0001
hsa-miR-532-3p ,22,0.0001
hsa-miR-29c*   ,22,0.0001
hsa-miR-708    ,22,0.0001
hsa-miR-29c    ,22,0.0001
hsa-miR-339-5p ,22,0.0001
hsa-miR-574-5p ,22,0.0001
hsa-miR-941    ,21.6,0.0001
hsa-miR-194    ,21,0.0001
hsa-miR-92b    ,21,0.0001
hsa-miR-1287   ,21,0.0001
hsa-miR-125a-3p,21,0.0001
hsa-miR-219-5p ,21,0.0001
hsa-miR-501-3p ,20,0.0001
hsa-miR-200c*  ,19,0.0001
hsa-miR-378*   ,19,0.0001
hsa-miR-320d   ,18.78,0.0001
hsa-miR-589    ,18,0.0001
